,Zona,Finca,Peso,Diámetro Sutural,Diámetro Contrasutural
1051,3.0,201,149,64.4,64.9
1052,3.0,901,130,60,63
1053,2.0,40901,165,68,70
1054,2.0,40901,120,62,62
1055,3.0,1301,240,71,68
1056,3.0,1032,140,64,67
1057,3.0,501,141,62.7,62.5
1058,3.0,1502,200,66,65
1059,3.0,1101,225,72.2,76.7
1060,3.0,1502,210,65,66
1061,2.0,40901,170,68,70
1062,3.0,1401,200,64,66
1063,3.0,801,135,63,66
1064,3.0,801,110,58,60
1065,3.0,1401,150,63,60
1066,3.0,801,100,59,59
1067,2.0,40801,30,51,52
1068,3.0,801,120,61,65
1069,2.0,40901,145,67,69
1070,3.0,303,123,61.9,61.6
1071,3.0,1502,155,64,60
1072,3.0,1401,190,70,63
1073,3.0,701,131,60.8,63.3
1074,3.0,1901,90,56,55.6
1075,2.0,40801,30,55,53
1076,3.0,201,150,64.9,66.2
1077,3.0,1502,155,53,60
1078,3.0,401,167,66.4,64.7
1079,3.0,401,130,64.2,58.1
1080,3.0,1401,160,64,65
1081,3.0,1502,148,59,65
1082,3.0,401,160,67.3,66.1
1083,3.0,601,75,51.1,52.6
1084,3.0,1701,125,62,69.5
1085,2.0,40801,30,50,46
1086,3.0,901,90,58,57
1087,3.0,1301,150,59,62
1088,3.0,601,93,54.2,54.2
1089,3.0,601,116,60.9,58.2
1090,3.0,901,130,63,64
1091,3.0,1032,135,64,62
1092,3.0,1502,150,61,61
1093,2.0,40901,145,63,68
1094,3.0,401,134,60.5,63.1
1095,3.0,501,161,65.5,66.4
1096,3.0,701,214,73.6,73.1
1097,2.0,40801,30,54,54
1098,3.0,1601,125,62,69.5
1099,3.0,601,76,53.1,51.6
1100,2.0,40901,110,60,60
1101,3.0,701,162,65.5,66.4
1102,3.0,901,110,60,62
1103,3.0,601,74,50.3,50.3
1104,3.0,1901,55,45.6,47.7
1105,3.0,1801,50,45.3,42.8
1106,2.0,40901,190,72,74
1107,3.0,1801,125,62.7,62.3
1108,3.0,701,136,67.2,63.8
1109,3.0,501,169,66.1,68.8
1110,3.0,1032,110,59,60
1111,3.0,601,100,55.3,57.2
1112,3.0,801,130,63,64
1113,2.0,40801,30,54,52
1114,2.0,40801,30,50,51
1115,3.0,1601,115,62.4,61
1116,2.0,40901,115,59,60
1117,3.0,501,143,63.8,63.6
1118,3.0,1301,150,69,63
1119,3.0,501,162,65.8,66.6
1120,3.0,1502,165,60,58
1121,3.0,303,188,68.6,71.9
1122,3.0,201,191,70.9,72.5
1123,3.0,501,146,63.6,65.3
1124,3.0,1601,95,57,58
1125,3.0,501,185,67.7,70.5
1126,2.0,40901,220,70,77
1127,2.0,40801,30,55,53
1128,3.0,1101,165,66.4,69.1
1129,3.0,401,161,69.4,67.2
1130,2.0,40801,100,55,54
1131,2.0,40901,155,67,68
1132,3.0,1901,135,66,64.6
1133,3.0,1502,190,70,63
1134,3.0,901,120,60,63
1135,3.0,1032,120,63,64
